source_provider_name,source_health_system,source_geography,source_service_line,source_market,source_period,source_volume,payer_type,data_source,source_file
PRIVIA,Privia Health Group,Northern Virginia,Cardiac,Virginia Demo Market,2020 Q1,424,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Luminis,Luminis Health,Maryland,gastro,Virginia Demo Market,Q3/2022,-999,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT HEALTH,Novant Health,Northern Virginia,Cardiac,Virginia Demo Market,Q2/2020,321,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
luminis health,Luminis Health,Maryland,CARDIOLOGY,Virginia Demo Market,Jul-Sep 2021,611,All Payer,mock_source_v2,vol_export_final.csv
Inova Loudoun,Inova Health System,Northern Virginia,behavioral health,,Q4/2019,160,,mock_source_v2,vol_export_final.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,behav hlth,Virginia Demo Market,Jul-Sep 2019,304,,mock_source_v2,vol_export_FINAL_v2.csv
INOVA Loudoun,Inova Health System,Northern Virginia,Oncology Services,Virginia Demo Market,Apr-Jun 2022,313,,mock_source_v2,vol_export_final.csv
Sentara Healthcare,,Hampton Roads,Womens Health,Virginia Demo Market,Apr-Jun 2020,715,All Payer,mock_source_v2,provider_volume_2019_2023.csv
V.C.U. Health,VCU Health System,Richmond,GI Services,Virginia Demo Market,2019 Q1,555,All Payer,mock_source_v2,vol_export_final.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,Neurology,Virginia Demo Market,Q2 2022,409,,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Neurological Svcs,Virginia Demo Market,Apr-Jun 2022,971,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova,Inova Health System,Northern Virginia,NEUROLOGY,Virginia Demo Market,Jul-Sep 2020,879,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
InOva,Inova Health System,Northern Virginia,behavioral health,Virginia Demo Market,2023-Q4,810,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
HCA VIRGINIA,HCA Healthcare,Richmond,gastro,Virginia Demo Market,2021 Q1,534,All Payer,mock_source_v2,provider_volume_2019_2023.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,GI Services,Virginia Demo Market,2019-Q2,479,Medicare,mock_source_v2,vol_export_final.csv
INOVA LOUDOUN,Inova Health System,Northern Virginia,ORTHOPEDICS,Virginia Demo Market,Q2 2021,815,,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,UVA Health,Charlottesville,Cancer Services,Virginia Demo Market,2021-Q3,1263,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,Women's Health,Virginia Demo Market,Q2 2021,581,All Payer,mock_source_v2,vol_export_final.csv
Privia Hlth,Privia Health Group,Northern Virginia,CARDIOLOGY,Virginia Demo Market,Q4 2020,434,Medicare,mock_source_v2,provider_volume_2019_2023.csv
BSMH,Bon Secours Mercy Health,Richmond,Neurology,Virginia Demo Market,Q1-2021,417,,mock_source_v2,vol_export_final.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,WOMENS HEALTH,Virginia Demo Market,2022 Q2,1392,Commercial,mock_source_v2,provider_volume_2019_2023.csv
HCA,HCA Healthcare,Richmond,behav hlth,Virginia Demo Market,Q2/2022,347,,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Heart Services,Virginia Demo Market,Q4-2022,1306,,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,Cardiac,Virginia Demo Market,Q3/2023,791,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
uva health,UVA Health,Charlottesville,neuro services,Virginia Demo Market,Q1 2020,870,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
NovantHlth,Novant Health,Northern Virginia,Mental Health,Virginia Demo Market,Q4 2022,237,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,OB/GYN,Virginia Demo Market,2021 Q3,1342,Unknown,mock_source_v2,vol_export_final.csv
UVA Health,UVA Health,Charlottesville,neuro services,Virginia Demo Market,Oct-Dec 2020,845,Medicare,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,Mental Health,Virginia Demo Market,Q2/2021,340,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
INOVA LOUDOUN,Inova Health System,Northern Virginia,behav hlth,Virginia Demo Market,2019 Q2,152 cases,Medicaid,mock_source_v2,vol_export_final.csv
Privia,Privia Health Group,Northern Virginia,onc.,Virginia Demo Market,2023-Q2,184,Commercial,mock_source_v2,vol_export_final.csv
SENTARA,Sentara Healthcare,Hampton Roads,CARD,Virginia Demo Market,Q3-2021,1521,All Payer,mock_source_v2,vol_export_final.csv
Inova Fairfax,Inova Health System,Northern Virginia,GI,Virginia Demo Market,2020 Q2,440,All Payer,mock_source_v2,vol_export_final.csv
Inova Loudoun,Inova Health System,Northern Virginia,BH,Virginia Demo Market,Q2-2020,73,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
privia health,Privia Health Group,Northern Virginia,EMERGENCY,Virginia Demo Market,Q2/2023,115,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Inova Health,,Northern Virginia,Neurology,Virginia Demo Market,2023-Q3,1142.0,Medicare,mock_source_v2,vol_export_final.csv
Privia,,Northern Virginia,Psychiatry,Virginia Demo Market,Q1/2022,392,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova,Inova Health System,Northern Virginia,GI Services,Virginia Demo Market,2021 Q1,854,All Payer,mock_source_v2,vol_export_final.csv
CARILION,Carilion Clinic,Roanoke,oncology,Virginia Demo Market,2019 Q1,598,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
INOVA Loudoun,Inova Health System,Northern Virginia,Neurology,Virginia Demo Market,2022-Q4,337,All Payer,mock_source_v2,vol_export_final.csv
Luminis,Luminis Health,Maryland,WOMENS HEALTH,Virginia Demo Market,Q4/2019,702,Medicaid,mock_source_v2,vol_export_final.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,Neurology,Virginia Demo Market,Jul-Sep 2022,402,All Payer,mock_source_v2,provider_volume_2019_2023.csv
novant health,Novant Health,Northern Virginia,Women's Health,Virginia Demo Market,2019-Q1,712,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova Health,,Northern Virginia,Ob-Gyn,Virginia Demo Market,Q1-2019,1867,Medicare,mock_source_v2,vol_export_final.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,GASTROENTEROLOGY,Virginia Demo Market,Q1/2020,233,,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,Oncology,Virginia Demo Market,Apr-Jun 2019,597,Medicare,mock_source_v2,vol_export_final.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,ED,Virginia Demo Market,Jul-Sep 2019,100,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
INOVA,Inova Health System,Northern Virginia,Neurological Svcs,Virginia Demo Market,2022 Q2,1118,Medicare,mock_source_v2,vol_export_final.csv
MedStar Health,MedStar Health,DC Metro,E.D.,Virginia Demo Market,Q2 2020,796,,mock_source_v2,vol_export_FINAL_v2.csv
CARILION,Carilion Clinic,Roanoke,Gastro,Virginia Demo Market,Q3 2019,411,All Payer,mock_source_v2,vol_export_final.csv
Luminis,Luminis Health,Maryland,behav hlth,Virginia Demo Market,Q1-2022,230,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
NOVANT HEALTH,Novant Health,Northern Virginia,BH,Virginia Demo Market,Q4-2020,192,Commercial,mock_source_v2,vol_export_final.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,onc.,Virginia Demo Market,2019-Q3,156,,mock_source_v2,vol_export_final.csv
bon secours,Bon Secours Mercy Health,Richmond,Psych,Virginia Demo Market,Jan-Mar 2020,195,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun,Inova Health System,Northern Virginia,neuro services,Virginia Demo Market,Q2/2020,131,All Payer,mock_source_v2,provider_volume_2019_2023.csv
MEDSTAR,MedStar Health,DC Metro,Behavioral Health,Virginia Demo Market,Q1-2019,519,Unknown,mock_source_v2,provider_volume_2019_2023.csv
VCU HEALTH,VCU Health System,Richmond,Ob-Gyn,Virginia Demo Market,Q1/2022,873.0,Unknown,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,ONC,Virginia Demo Market,2023 Q4,971,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
CARILION CLINIC,,Roanoke,Musculoskeletal,Virginia Demo Market,Apr-Jun 2022,781,All Payer,mock_source_v2,provider_volume_2019_2023.csv
VCU Medical Center,VCU Health System,Richmond,GASTROENTEROLOGY,Virginia Demo Market,Q4/2019,592,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
Carilion Health,Carilion Clinic,Roanoke,Psychiatry,Virginia Demo Market,2019-Q3,362,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
NOVANT HEALTH,,Northern Virginia,Womens Health,Virginia Demo Market,Q4 2021,745,Unknown,mock_source_v2,vol_export_final.csv
SENTARA HEALTH,,Hampton Roads,Oncology,Virginia Demo Market,Q2 2019,888,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Virginia Commonwealth,VCU Health System,Richmond,BH,Virginia Demo Market,Q2/2023,1192,Medicaid,mock_source_v2,vol_export_final.csv
medstar health,MedStar Health,DC Metro,GASTROENTEROLOGY,Virginia Demo Market,Q4-2021,613,All Payer,mock_source_v2,provider_volume_2019_2023.csv
UVA Health,UVA Health,Charlottesville,oncology,Virginia Demo Market,Q3 2019,1224,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,Neurological Svcs,Virginia Demo Market,Q1/2019,702,Medicare,mock_source_v2,vol_export_final.csv
sentara,Sentara Healthcare,Hampton Roads,Gastro,Virginia Demo Market,Q4-2019,706,,mock_source_v2,vol_export_final.csv
BON SECOURS,,Richmond,G.I.,Virginia Demo Market,Q1 2020,426,Medicare,mock_source_v2,vol_export_final.csv
LUMINIS HEALTH,Luminis Health,Maryland,Neuro,Virginia Demo Market,Oct-Dec 2020,311,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
HCA Virginia,HCA Healthcare,Richmond,Cardiac,Virginia Demo Market,2023 Q2,1095,,mock_source_v2,vol_export_final.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Gastro,Virginia Demo Market,Apr-Jun 2022,595,Medicaid,mock_source_v2,vol_export_final.csv
V.C.U. Health,VCU Health System,Richmond,ORTHO,Virginia Demo Market,Jul-Sep 2022,,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Health,Sentara Healthcare,Hampton Roads,Neurology,Virginia Demo Market,Q4-2021,844,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
VCU HEALTH,VCU Health System,Richmond,Ob-Gyn,Virginia Demo Market,Q2/2020,379,All Payer,mock_source_v2,vol_export_final.csv
carilion clinic,Carilion Clinic,Roanoke,Gastroenterology,Virginia Demo Market,Q1-2019,394,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
hca hlth va,HCA Healthcare,Richmond,CARD,Virginia Demo Market,Apr-Jun 2020,481,All Payer,mock_source_v2,vol_export_final.csv
Sentara Healthcare,Sentara Healthcare,Hampton Roads,Cardiology,Virginia Demo Market,Q2/2021,1542,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
privia health,Privia Health Group,Northern Virginia,GI Services,Virginia Demo Market,Apr-Jun 2021,310,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
PRIVIA,Privia Health Group,Northern Virginia,BH,Virginia Demo Market,Oct-Dec 2019,321,All Payer,mock_source_v2,vol_export_final.csv
privia health,Privia Health Group,Northern Virginia,Emergency Services,Virginia Demo Market,Q2 2021,104,Commercial,mock_source_v2,vol_export_final.csv
Novant,Novant Health,Northern Virginia,Psych,Virginia Demo Market,2019-Q3,200,Medicare,mock_source_v2,vol_export_final.csv
bon secours,Bon Secours Mercy Health,Richmond,emergency services,Virginia Demo Market,2019-Q2,1335,All Payer,mock_source_v2,vol_export_final.csv
HCA,HCA Healthcare,Richmond,Heart Services,Virginia Demo Market,Q1 2019,1121,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
INOVA Loudoun,Inova Health System,Northern Virginia,Heart Services,Virginia Demo Market,Q2/2022,630,,mock_source_v2,vol_export_FINAL_v2.csv
HCA Virginia,HCA Healthcare,Richmond,Musculoskeletal,Virginia Demo Market,2022-Q2,1550,Medicare,mock_source_v2,vol_export_final.csv
novant health,Novant Health,Northern Virginia,neuro services,Virginia Demo Market,Oct-Dec 2022,394,All Payer,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,Gastroenterology,Virginia Demo Market,Q2 2021,,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MEDSTAR HEALTH,,DC Metro,ONC,Virginia Demo Market,Q2-2023,995,Medicare,mock_source_v2,vol_export_final.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,CARD,Virginia Demo Market,2022-Q2,888,All Payer,mock_source_v2,vol_export_final.csv
inova health,Inova Health System,Northern Virginia,Gastroenterology,Virginia Demo Market,Q4/2019,912,Commercial,mock_source_v2,vol_export_final.csv
MEDSTAR HEALTH,,DC Metro,ED,Virginia Demo Market,Q4-2022,1997,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,gi services,Virginia Demo Market,2021 Q3,549,All Payer,mock_source_v2,provider_volume_2019_2023.csv
HCA,HCA Healthcare,Richmond,Mental Health,Virginia Demo Market,Jul-Sep 2020,255,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Novant Health,Novant Health,Northern Virginia,neuro services,Virginia Demo Market,2022 Q3,372,,mock_source_v2,vol_export_FINAL_v2.csv
BON SECOURS,Bon Secours Mercy Health,Richmond,ONCOLOGY,Virginia Demo Market,Q2 2023,422,All Payer,mock_source_v2,provider_volume_2019_2023.csv
hca virginia,HCA Healthcare,Richmond,ONCOLOGY,,2023-Q1,493,,mock_source_v2,vol_export_final.csv
MedStar,MedStar Health,DC Metro,Women,Virginia Demo Market,2022-Q3,1213,Medicare,mock_source_v2,vol_export_final.csv
VCU Health,VCU Health System,Richmond,Cardiac,Virginia Demo Market,Q2/2019,1079,Medicare,mock_source_v2,provider_volume_2019_2023.csv
sentara,Sentara Healthcare,Hampton Roads,Gastro,Virginia Demo Market,Q1-2019,667,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Cardiac,Virginia Demo Market,Q3/2022,612,Medicare,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA,Privia Health Group,Northern Virginia,MSK,TBD,2020-Q1,326,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Luminis Health,Luminis Health,Maryland,GASTROENTEROLOGY,TBD,Q2/2022,319,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
bon secours,Bon Secours Mercy Health,Richmond,women's health,Virginia Demo Market,Q4 2021,1266.0,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
inova health,Inova Health System,Northern Virginia,ORTHOPEDICS,Virginia Demo Market,Apr-Jun 2019,2941,Unknown,mock_source_v2,vol_export_final.csv
Novant Health,Novant Health,Northern Virginia,behav hlth,Unknown,2023 Q1,234,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
UVA Healthcare,UVA Health,Charlottesville,Cardiology,Virginia Demo Market,Q4-2021,1093,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
carilion clinic,Carilion Clinic,Roanoke,EMERGENCY,Virginia Demo Market,Q4 2019,1101,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Healthcare,Sentara Healthcare,Hampton Roads,GI,Virginia Demo Market,2020 Q2,331,Unknown,mock_source_v2,vol_export_final.csv
inova,Inova Health System,Northern Virginia,Emergency,Virginia Demo Market,Q4/2021,3671,Medicare,mock_source_v2,vol_export_final.csv
Sentara,Sentara Healthcare,Hampton Roads,WOMENS HEALTH,Virginia Demo Market,Q1 2020,1544,All Payer,mock_source_v2,vol_export_final.csv
VCU HEALTH,VCU Health System,Richmond,WOMENS HEALTH,Virginia Demo Market,2020-Q4,-999,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,cardiac services,Virginia Demo Market,Q1 2022,1255,All Payer,mock_source_v2,vol_export_final.csv
Luminis Health,Luminis Health,Maryland,Orthopedic,Virginia Demo Market,Q2-2022,670,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Sentara,Sentara Healthcare,Hampton Roads,CARDIOLOGY,Virginia Demo Market,Apr-Jun 2020,655,All Payer,mock_source_v2,provider_volume_2019_2023.csv
inova loudoun,Inova Health System,Northern Virginia,Cardiac,Virginia Demo Market,Q1-2021,651,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,Womens Health,Virginia Demo Market,Apr-Jun 2019,522.0,Unknown,mock_source_v2,vol_export_final.csv
Privia Hlth,Privia Health Group,Northern Virginia,Heart Services,Virginia Demo Market,Q1 2022,,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Clinic,Carilion Clinic,Roanoke,onc.,Virginia Demo Market,Q2 2023,643.0,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,orthopaedics,Virginia Demo Market,Q3 2021,1231,,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA,,Hampton Roads,OB/GYN,Virginia Demo Market,2022 Q3,1692,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,Orthopedic,Virginia Demo Market,Oct-Dec 2021,1036,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Emerg Svcs,Virginia Demo Market,Oct-Dec 2021,1438,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
VCU,VCU Health System,Richmond,GI Services,Virginia Demo Market,Q4-2021,586,Commercial,mock_source_v2,provider_volume_2019_2023.csv
HCA VIRGINIA,HCA Healthcare,Richmond,neurology,Virginia Demo Market,Q2/2019,474,All Payer,mock_source_v2,provider_volume_2019_2023.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,cardiac services,Virginia Demo Market,Q2/2023,1696,All Payer,mock_source_v2,provider_volume_2019_2023.csv
vcu,VCU Health System,Richmond,Cardiac,Virginia Demo Market,2022 Q1,1227,Medicaid,mock_source_v2,vol_export_final.csv
Inova Loudoun,Inova Health System,Northern Virginia,orthopaedics,Virginia Demo Market,2019 Q3,746,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
Carilion,Carilion Clinic,Roanoke,Psychiatry,Virginia Demo Market,2019 Q4,363,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Neuro,Virginia Demo Market,Q4-2019,322,All Payer,mock_source_v2,provider_volume_2019_2023.csv
sentara hlth,Sentara Healthcare,Hampton Roads,neurology,Virginia Demo Market,Jul-Sep 2021,752,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Clinic,Carilion Clinic,Roanoke,Cancer Services,National,Jul-Sep 2021,601,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Clinic,Carilion Clinic,Roanoke,Heart Services,Virginia Demo Market,Q1-2019,872,,mock_source_v2,vol_export_final.csv
VCU Medical Center,VCU Health System,Richmond,OB/GYN,Virginia Demo Market,Q3/2022,855,All Payer,mock_source_v2,vol_export_final.csv
HCA VIRGINIA,HCA Healthcare,Richmond,Orthopedic,Virginia Demo Market,Q2 2021,1472,Medicare,mock_source_v2,vol_export_final.csv
uva health,UVA Health,Charlottesville,NEUROLOGY,Virginia Demo Market,2023-Q4,1061,Medicare,mock_source_v2,vol_export_final.csv
Inova,Inova Health System,Northern Virginia,EMERGENCY,Virginia Demo Market,2020-Q4,2976,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Orthopedic,Virginia Demo Market,Q1-2020,602,All Payer,mock_source_v2,vol_export_final.csv
UVA Health,,Charlottesville,card.,Virginia Demo Market,Oct-Dec 2020,920,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Clinic,Carilion Clinic,Roanoke,Women's Health,Virginia Demo Market,2020 Q3,620,All Payer,mock_source_v2,vol_export_final.csv
UVA,UVA Health,Charlottesville,WOMENS HEALTH,Virginia Demo Market,2020-Q1,877,Medicaid,mock_source_v2,vol_export_final.csv
bon secours,Bon Secours Mercy Health,Richmond,BH,Virginia Demo Market,Jan-Mar 2019,208 cases,,mock_source_v2,provider_volume_2019_2023.csv
Luminis Hlth,Luminis Health,Maryland,ED,Virginia Demo Market,Q1-2023,1058,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
NovantHlth,Novant Health,Northern Virginia,CARDIOLOGY,Virginia Demo Market,Oct-Dec 2021,867,Medicare,mock_source_v2,vol_export_final.csv
V.C.U. Health,VCU Health System,Richmond,GI,Virginia Demo Market,2020 Q3,474,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
luminis health,Luminis Health,Maryland,gi services,Virginia Demo Market,Q4-2022,300,Unknown,mock_source_v2,vol_export_final.csv
MEDSTAR,MedStar Health,DC Metro,Women's Health,,2019-Q3,"1,112",Commercial,mock_source_v2,vol_export_FINAL_v2.csv
